Author,Article,Topic,Volume,Journal_name,Editor,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Ehsan Abed,Information content in textual data: Revisited for Arabic text.,databases,38-db/journals/jasis/jasis38.html#HegaziAA87,J. Am. Soc. Inf. Sci.,Group_2,Amar Ramudhin,Tadeusz Lasota,Description of Reviewer_1 for article: 8149559,Description of Reviewer_2 for article: 8149559,EventAssign_8149559,EventRev1_8149559,EventRev2_8149559
Tuncay Candan,Oscillation of first-order neutral differential equations with distributed deviating arguments.,Knowledge Discovery,2008-55.0,Comput. Math. Appl.,Group_1,Kristen L. Murphy,Salem Alkhalaf,Description of Reviewer_1 for article: 6773964,Description of Reviewer_2 for article: 6773964,EventAssign_6773964,EventRev1_6773964,EventRev2_6773964
Jos de Jong,Math.Js: An Advanced Mathematics Library For JavaScript.,big data,2018-20,Comput. Sci. Eng.,Group_1,John A. A. Sillince,Bilal Ahmad,Description of Reviewer_1 for article: 6722664,Description of Reviewer_2 for article: 6722664,EventAssign_6722664,EventRev1_6722664,EventRev2_6722664
Beatriz Marcotegui,Morphological segmentation on learned boundaries.,databases,2009-27,Image Vis. Comput.,Group_3,Wenjun Chris Zhang,Germano Resconi,Description of Reviewer_1 for article: 6253930,Description of Reviewer_2 for article: 6253930,EventAssign_6253930,EventRev1_6253930,EventRev2_6253930
Jerzy Konorski,A station strategy to deter backoff attacks in IEEE 802.11 LANs.,databases,2007-5,J. Discrete Algorithms,Group_1,Rui Zhang 0034,Zahid Ullah 0001,Description of Reviewer_1 for article: 6595734,Description of Reviewer_2 for article: 6595734,EventAssign_6595734,EventRev1_6595734,EventRev2_6595734
Gebhard Geiger,Risk pricing in a non-expected utility framework.,natural language processing,2015-246,Eur. J. Oper. Res.,Group_2,Takashi Ikeda,Daiqian Xie,Description of Reviewer_1 for article: 6645900,Description of Reviewer_2 for article: 6645900,EventAssign_6645900,EventRev1_6645900,EventRev2_6645900
Lei Ma,Research and application of fuzzy decision based on multi-agent system.,natural language processing,2020-76,J. Supercomput.,Group_3,Marco Mandolini,Daisy Monika Lal,Description of Reviewer_1 for article: 8704694,Description of Reviewer_2 for article: 8704694,EventAssign_8704694,EventRev1_8704694,EventRev2_8704694
Michael C. Wicks,Concurrent Extraction of Target Range and Doppler Information by Using Orthogonal Coding Waveforms.,natural language processing,2007-55,IEEE Trans. Signal Process.,Group_3,Rui Zhang 0034,Evans C. Coutinho,Description of Reviewer_1 for article: 6465755,Description of Reviewer_2 for article: 6465755,EventAssign_6465755,EventRev1_6465755,EventRev2_6465755
Haizhou Li 0001,Speaker Verification With Feature-Space MAPLR Parameters.,databases,2011-19,IEEE Trans. Speech Audio Process.,Group_2,Jos de Jong,Huifeng Li,Description of Reviewer_1 for article: 8624310,Description of Reviewer_2 for article: 8624310,EventAssign_8624310,EventRev1_8624310,EventRev2_8624310
Erich Strohmaier,Generalized utility metrics for supercomputers.,big data,2009-23,Comput. Sci. Res. Dev.,Group_1,Ji Hwan Cha,Hongyuan Gao,Description of Reviewer_1 for article: 8381826,Description of Reviewer_2 for article: 8381826,EventAssign_8381826,EventRev1_8381826,EventRev2_8381826
Francisco Rubio 0001,Robust Optimization of Order Execution.,machine learning,2015-63,IEEE Trans. Signal Process.,Group_3,Jianyong Chen,Na Wang,Description of Reviewer_1 for article: 6474320,Description of Reviewer_2 for article: 6474320,EventAssign_6474320,EventRev1_6474320,EventRev2_6474320
Juan Pazos,A Game Theory Based Approach for Building Holonic Virtual Enterprises.,machine learning,2015-45,IEEE Trans. Syst. Man Cybern. Syst.,Group_1,Mamta Rani,Davide Crapis,Description of Reviewer_1 for article: 7793743,Description of Reviewer_2 for article: 7793743,EventAssign_7793743,EventRev1_7793743,EventRev2_7793743
Xingyan Kuang,PBSword: a web server for searching similar protein-protein binding sites.,Knowledge Discovery,2012-40,Nucleic Acids Res.,Group_2,Alessio Di Simone,Tetsuo Endoh,Description of Reviewer_1 for article: 6585593,Description of Reviewer_2 for article: 6585593,EventAssign_6585593,EventRev1_6585593,EventRev2_6585593
Bryan Houliston,Optimization of Multidimensional Aggregates in Data Warehouses.,Knowledge Discovery,2007-18,J. Database Manag.,Group_3,Yingpu Deng,N. Kanagaraj,Description of Reviewer_1 for article: 8556923,Description of Reviewer_2 for article: 8556923,EventAssign_8556923,EventRev1_8556923,EventRev2_8556923
B. R. Myers,Hamiltonian factorization of the product of a complete graph with itself.,big data,1972-2,Networks,Group_1,Xiao-mei Li,Mohammad Ranjbar,Description of Reviewer_1 for article: 8456739,Description of Reviewer_2 for article: 8456739,EventAssign_8456739,EventRev1_8456739,EventRev2_8456739
Ross E. Curtis,TREEGL: reverse engineering tree-evolving gene networks underlying developing biological lineages.,machine learning,2011-27,Bioinform.,Group_1,Andreas Pecht,Ehsan Abed,Description of Reviewer_1 for article: 8178098,Description of Reviewer_2 for article: 8178098,EventAssign_8178098,EventRev1_8178098,EventRev2_8178098
K. Hopper,Retained Objects and Operating System Interfaces.,big data,1981-24,Comput. J.,Group_1,Gilles Hétreux,I-Wen Mike Chu,Description of Reviewer_1 for article: 7385451,Description of Reviewer_2 for article: 7385451,EventAssign_7385451,EventRev1_7385451,EventRev2_7385451
Suh-Yin Lee,An Efficient Scheme of General Weighted Fair Allocation for Enhanced Best-Effort Service in High Speed Networks.,natural language processing,2001-17,J. Inf. Sci. Eng.,Group_1,Richard E. Smith,Dagmar Stumpfe,Description of Reviewer_1 for article: 7930798,Description of Reviewer_2 for article: 7930798,EventAssign_7930798,EventRev1_7930798,EventRev2_7930798
