Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Md. Masud Rana 0001,IoT-Based Electric Vehicle State Estimation and Control Algorithms Under Cyber Attacks.,databases,Group_C,2020-7,Healthcare NLP Summit 2022,José M. Giménez-García,Timothy Kam,Description of Reviewer_1 for article: 8136790,Description of Reviewer_2 for article: 8136790,EventAssign_8136790,EventRev1_8136790,EventRev2_8136790
Michael Yatauro,Stability Theorems for Graph Vulnerability Parameters.,natural language processing,Group_B,2021-37,Open Data Science Conference ,Eugene Krissinel,Gordon E. Bromage,Description of Reviewer_1 for article: 7754480,Description of Reviewer_2 for article: 7754480,EventAssign_7754480,EventRev1_7754480,EventRev2_7754480
Xin Chen 0012,Intelligent Coordinating Control Between Burn-Through Point and Mixture Bunker Level in an Iron Ore Sintering Process.,Knowledge Discovery,Group_B,2017-21, Gartner Data & Analytics Summit,Colin Tattersall,Na Wang,Description of Reviewer_1 for article: 8358701,Description of Reviewer_2 for article: 8358701,EventAssign_8358701,EventRev1_8358701,EventRev2_8358701
A. Frank van der Stappen,Realistic Input Models for Geometric Algorithms.,Knowledge Discovery,Group_B,2002-34,Open Data Science Conference ,Hiroshi Imai,Zhenhua Guo 0001,Description of Reviewer_1 for article: 7859687,Description of Reviewer_2 for article: 7859687,EventAssign_7859687,EventRev1_7859687,EventRev2_7859687
Jean-François Cardoso,Performance analysis of an adaptive algorithm for tracking dominant subspaces.,big data,Group_C,1998-46, Gartner Data & Analytics Summit,Joseph DiPietro,Thomas Brandmeier,Description of Reviewer_1 for article: 6474993,Description of Reviewer_2 for article: 6474993,EventAssign_6474993,EventRev1_6474993,EventRev2_6474993
Thiago Alves de Queiroz,The static stability of support factor-based rectangular packings: an assessment by regression analysis.,Knowledge Discovery,Group_B,2022-29.0,Open Data Science Conference ,Mingyan Li,Fred Cohen,Description of Reviewer_1 for article: 8766819,Description of Reviewer_2 for article: 8766819,EventAssign_8766819,EventRev1_8766819,EventRev2_8766819
Michael A. Wolfe,On the convergence of some methods for determining zeros of order-convex operators.,natural language processing,Group_C,1981-26,Women in Data Science,Steven D. Johnson,Derek A. Holton,Description of Reviewer_1 for article: 8234348,Description of Reviewer_2 for article: 8234348,EventAssign_8234348,EventRev1_8234348,EventRev2_8234348
Haomin Zhang,Modified Biogeography-Based Optimization with Local Search Mechanism.,big data,Group_C,2013-2013,Women in Data Science,Juan Miguel Medina 0002,Dongfang Yang,Description of Reviewer_1 for article: 7312292,Description of Reviewer_2 for article: 7312292,EventAssign_7312292,EventRev1_7312292,EventRev2_7312292
Paolo Gamba,"""Foreword to the Special Issue on """"Human Settlements: A Global Remote Sensing Challenge"""".""",Knowledge Discovery,Group_B,2011-4,Healthcare NLP Summit 2022,Laurent Gosse,Tuncay Candan,Description of Reviewer_1 for article: 8318786,Description of Reviewer_2 for article: 8318786,EventAssign_8318786,EventRev1_8318786,EventRev2_8318786
Minerva M. Yeung,Digital Watermarking - Introduction.,Knowledge Discovery,Group_A,1998-41,Healthcare NLP Summit 2022,Sercan Ozcan,Igor S. Pandzic,Description of Reviewer_1 for article: 7814031,Description of Reviewer_2 for article: 7814031,EventAssign_7814031,EventRev1_7814031,EventRev2_7814031
R. Meaille,A geographical information system for some Mediterranean benthic communities.,machine learning,Group_B,1990-4, Gartner Data & Analytics Summit,Juan Pazos,Colin Tattersall,Description of Reviewer_1 for article: 6739774,Description of Reviewer_2 for article: 6739774,EventAssign_6739774,EventRev1_6739774,EventRev2_6739774
Verena Käfer,What Is the Best Way For Developers to Learn New Software Tools? An Empirical Comparison Between a Text and a Video Tutorial.,databases,Group_A,2017-1,Open Data Science Conference ,T. G. A. Youngs,Ruyi Dong,Description of Reviewer_1 for article: 8091971,Description of Reviewer_2 for article: 8091971,EventAssign_8091971,EventRev1_8091971,EventRev2_8091971
Huan Liu 0001,Group Profiling for Understanding Social Structures.,natural language processing,Group_B,2011-3,Women in Data Science,Anna L. Cox,Maria Paola Scaparra,Description of Reviewer_1 for article: 8545678,Description of Reviewer_2 for article: 8545678,EventAssign_8545678,EventRev1_8545678,EventRev2_8545678
Subhasmita Sahoo,A Novel Method of Glottal Inverse Filtering.,Knowledge Discovery,Group_A,2016-24, Gartner Data & Analytics Summit,Hongyuan Gao,Maria Letizia Corradini,Description of Reviewer_1 for article: 8625474,Description of Reviewer_2 for article: 8625474,EventAssign_8625474,EventRev1_8625474,EventRev2_8625474
Riste Skrekovski,A Grötzsch-Type Theorem For List Colourings With Impropriety One.,databases,Group_C,1999-8,Women in Data Science,Jun Cheng 0002,Zhenhua Guo 0001,Description of Reviewer_1 for article: 6438895,Description of Reviewer_2 for article: 6438895,EventAssign_6438895,EventRev1_6438895,EventRev2_6438895
Tianhong Zhu,An Adaptive Feature-fusion Method for Object Matching over Non-overlapped Scenes.,natural language processing,Group_A,2014-76,Open Data Science Conference ,Mehmet C. Vuran,Fred T. Krogh,Description of Reviewer_1 for article: 7868275,Description of Reviewer_2 for article: 7868275,EventAssign_7868275,EventRev1_7868275,EventRev2_7868275
