Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Tzren-Ru Chou,A stochastic representation of cursive Chinese characters for on-line recognition.,natural language processing,Group_A,1997-30, Gartner Data & Analytics Summit,Theodore S. Papatheodorou,B. V. Jayawant,Description of Reviewer_1 for article: 8203389,Description of Reviewer_2 for article: 8203389,EventAssign_8203389,EventRev1_8203389,EventRev2_8203389
Sören Bartels,Stability and Convergence of Finite-Element Approximation Schemes for Harmonic Maps.,big data,Group_A,2005-43,Open Data Science Conference ,Daqing Zhang 0001,Fred Cohen,Description of Reviewer_1 for article: 8100610,Description of Reviewer_2 for article: 8100610,EventAssign_8100610,EventRev1_8100610,EventRev2_8100610
Shuang Zhou 0014,A New Image Encryption Algorithm with Cantor Diagonal Scrambling Based on the PUMCML System.,big data,Group_A,2021-31,Women in Data Science,Haizhou Li 0001,Enrica Gentile,Description of Reviewer_1 for article: 8894034,Description of Reviewer_2 for article: 8894034,EventAssign_8894034,EventRev1_8894034,EventRev2_8894034
Massimiliano Orsini,Putative human sperm Interactome: a networks study.,big data,Group_A,2018-12,Healthcare NLP Summit 2022,Kumpati S. Narendra,Mehmet C. Vuran,Description of Reviewer_1 for article: 8097322,Description of Reviewer_2 for article: 8097322,EventAssign_8097322,EventRev1_8097322,EventRev2_8097322
Ruyi Dong,New optimization algorithm inspired by fluid mechanics for combined economic and emission dispatch problem.,big data,Group_C,2018-26,Women in Data Science,Kang Gu,Shuang Zhou 0014,Description of Reviewer_1 for article: 8908612,Description of Reviewer_2 for article: 8908612,EventAssign_8908612,EventRev1_8908612,EventRev2_8908612
Jiubin Tan,A Rapid Restoration Method for Infrared Aero-Optical Degraded Image of High-Speed Reconnaissance Aircraft.,databases,Group_C,2014-9,Women in Data Science,Jakub Wróblewski,Eugene Krissinel,Description of Reviewer_1 for article: 7705230,Description of Reviewer_2 for article: 7705230,EventAssign_7705230,EventRev1_7705230,EventRev2_7705230
Pavan Nuggehalli,LTE-WLAN aggregation [Industry Perspectives].,machine learning,Group_C,2016-23,Women in Data Science,Minerva M. Yeung,Mikko Kolehmainen,Description of Reviewer_1 for article: 7280465,Description of Reviewer_2 for article: 7280465,EventAssign_7280465,EventRev1_7280465,EventRev2_7280465
Lars Grüne,Lyapunov-based continuous-time nonlinear controller redesign for sampled-data implementation.,Knowledge Discovery,Group_B,2005-41,Healthcare NLP Summit 2022,Elaine Shi,Lu Yang 0005,Description of Reviewer_1 for article: 6486646,Description of Reviewer_2 for article: 6486646,EventAssign_6486646,EventRev1_6486646,EventRev2_6486646
Hans-Joachim Wunderlich,SWIFT: Switch-Level Fault Simulation on GPUs.,Knowledge Discovery,Group_C,2019-38,Open Data Science Conference ,Anna Tonazzini,Randy Chiao,Description of Reviewer_1 for article: 8223188,Description of Reviewer_2 for article: 8223188,EventAssign_8223188,EventRev1_8223188,EventRev2_8223188
Lynn Bacon Keane,Enterprise 2.0 Management Challenges.,machine learning,Group_B,2011-3,Open Data Science Conference ,K. Ohm,Hideaki Yamashita,Description of Reviewer_1 for article: 6339558,Description of Reviewer_2 for article: 6339558,EventAssign_6339558,EventRev1_6339558,EventRev2_6339558
Rui Zhang 0034,Observer-Based Adaptive Neural Control for Non-Triangular Form Systems With Input Saturation and Full State Constraints.,Knowledge Discovery,Group_C,2019-7,Healthcare NLP Summit 2022,Oleg A. Anenkhonov,Xiaoli Li 0011,Description of Reviewer_1 for article: 8404456,Description of Reviewer_2 for article: 8404456,EventAssign_8404456,EventRev1_8404456,EventRev2_8404456
Saumya Bajpai,Asymptotic behavior and finite element error estimates of Kelvin-Voigt viscoelastic fluid flow model.,databases,Group_C,2017-75,Women in Data Science,Yaonan Wang,Jianfeng Huang,Description of Reviewer_1 for article: 6501142,Description of Reviewer_2 for article: 6501142,EventAssign_6501142,EventRev1_6501142,EventRev2_6501142
V. Gourishankar,"""Comments on """"An Adaptive Pattern Classification System"""".""",machine learning,Group_A,1971-1, Gartner Data & Analytics Summit,Liusheng Huang,L. J. López-Reyes,Description of Reviewer_1 for article: 7792402,Description of Reviewer_2 for article: 7792402,EventAssign_7792402,EventRev1_7792402,EventRev2_7792402
William Rundell,Inverse Obstacle Scattering Using Reduced Data.,natural language processing,Group_C,1998-59,Women in Data Science,Yasuhiko Tamura,P. Friderichsen,Description of Reviewer_1 for article: 7899591,Description of Reviewer_2 for article: 7899591,EventAssign_7899591,EventRev1_7899591,EventRev2_7899591
Xiao Ying 0001,A 3.125-to-22-Gb/s multi-rate clock and data recovery using voltage-regulated active filter.,natural language processing,Group_B,2014-11, Gartner Data & Analytics Summit,Tomer Y. Morad,Jie Zhang 0003,Description of Reviewer_1 for article: 8698051,Description of Reviewer_2 for article: 8698051,EventAssign_8698051,EventRev1_8698051,EventRev2_8698051
Sylvie Gibet,A survey on the animation of signing avatars: From sign representation to utterance synthesis.,machine learning,Group_A,2020-92, Gartner Data & Analytics Summit,Hugues Déprés,Cindy L. Bethel,Description of Reviewer_1 for article: 8261192,Description of Reviewer_2 for article: 8261192,EventAssign_8261192,EventRev1_8261192,EventRev2_8261192
Alan C. Tribble,Software Safety.,Knowledge Discovery,Group_C,2002-19,Healthcare NLP Summit 2022,Tuan Wu,Jop F. Sibeyn,Description of Reviewer_1 for article: 6427136,Description of Reviewer_2 for article: 6427136,EventAssign_6427136,EventRev1_6427136,EventRev2_6427136
Kelly A. Frazer,VISTA : visualizing global DNA sequence alignments of arbitrary length.,Knowledge Discovery,Group_B,2000-16,Healthcare NLP Summit 2022,Seok-Pil Lee,John A. A. Sillince,Description of Reviewer_1 for article: 8188261,Description of Reviewer_2 for article: 8188261,EventAssign_8188261,EventRev1_8188261,EventRev2_8188261
Daisy Monika Lal,Multi-level shared-weight encoding for abstractive sentence summarization.,Knowledge Discovery,Group_A,2022-34, Gartner Data & Analytics Summit,Zhongfeng Qiu,John A. A. Sillince,Description of Reviewer_1 for article: 7468355,Description of Reviewer_2 for article: 7468355,EventAssign_7468355,EventRev1_7468355,EventRev2_7468355
K. Ohm,GeneCluster 2.0: an advanced toolset for bioarray analysis.,natural language processing,Group_C,2004-20,Open Data Science Conference ,Debadatta Swain,Huaguang Zhang,Description of Reviewer_1 for article: 8177705,Description of Reviewer_2 for article: 8177705,EventAssign_8177705,EventRev1_8177705,EventRev2_8177705
Mehmet C. Vuran,Di-Sense: In situ real-time permittivity estimation and soil moisture sensing using wireless underground communications.,databases,Group_B,2019-151,Open Data Science Conference ,Daiqian Xie,Samrat Bhattacharjee,Description of Reviewer_1 for article: 7298564,Description of Reviewer_2 for article: 7298564,EventAssign_7298564,EventRev1_7298564,EventRev2_7298564
Bing Xue 0001,Self-Adaptive Particle Swarm Optimization for Large-Scale Feature Selection in Classification.,Knowledge Discovery,Group_B,2019-13,Open Data Science Conference ,Marwa Selmane,Bernard Donovan,Description of Reviewer_1 for article: 6209505,Description of Reviewer_2 for article: 6209505,EventAssign_6209505,EventRev1_6209505,EventRev2_6209505
Peter M. Todd,A Bottom-up Approach with a Clear View of the Top: How Human Evolutionary Psychology Can Inform Adaptive Behavior Research.,databases,Group_A,1994-3,Women in Data Science,Steven D. Johnson,Hans P. Künzi,Description of Reviewer_1 for article: 6643855,Description of Reviewer_2 for article: 6643855,EventAssign_6643855,EventRev1_6643855,EventRev2_6643855
Marian Gheorghe 0001,kPWorkbench: A software suit for membrane systems.,natural language processing,Group_A,2020-11,Women in Data Science,Huifeng Li,Xingyan Kuang,Description of Reviewer_1 for article: 8380847,Description of Reviewer_2 for article: 8380847,EventAssign_8380847,EventRev1_8380847,EventRev2_8380847
Lu Yang 0005,Geometric shape analysis based finger vein deformation detection and correction.,natural language processing,Group_C,2018-311,Women in Data Science,Mengdi Gan,extra reviewer,Description of Reviewer_1 for article: 8161464,Description of Reviewer_2 for article: 8161464,EventAssign_8161464,EventRev1_8161464,EventRev2_8161464
Dario Cerizza,Model-driven design and development of semantic Web service applications.,machine learning,Group_B,2007-8, Gartner Data & Analytics Summit,Alexander Dockhorn,Mehmet C. Vuran,Description of Reviewer_1 for article: 8547242,Description of Reviewer_2 for article: 8547242,EventAssign_8547242,EventRev1_8547242,EventRev2_8547242
Jun Deguchi,A Neuromorphic Chip Optimized for Deep Learning and CMOS Technology With Time-Domain Analog and Digital Mixed-Signal Processing.,databases,Group_C,2017-52, Gartner Data & Analytics Summit,Zhiping Wang,Lifeng Lai,Description of Reviewer_1 for article: 7511329,Description of Reviewer_2 for article: 7511329,EventAssign_7511329,EventRev1_7511329,EventRev2_7511329
Sung Shik Koh,Geometrical properties between 2-D image plane and 3-D error space.,machine learning,Group_B,2006-3, Gartner Data & Analytics Summit,Hu Xiong,Alexandra Siposová,Description of Reviewer_1 for article: 8695858,Description of Reviewer_2 for article: 8695858,EventAssign_8695858,EventRev1_8695858,EventRev2_8695858
Salem Alkhalaf,Development of a Java-based Mobile application for mathematics learning.,databases,Group_C,2021-26,Open Data Science Conference ,Wojciech Szpankowski,Quan Leng,Description of Reviewer_1 for article: 8903186,Description of Reviewer_2 for article: 8903186,EventAssign_8903186,EventRev1_8903186,EventRev2_8903186
Maia Angelova,Global stability and periodicity in a glucose-insulin regulation model with a single delay.,Knowledge Discovery,Group_C,2021-95,Women in Data Science,Maria Paola Scaparra,Mitsuru Kodama,Description of Reviewer_1 for article: 8676204,Description of Reviewer_2 for article: 8676204,EventAssign_8676204,EventRev1_8676204,EventRev2_8676204
Nor Aina Mohd Jai,Correlating Psychophysiological Responses of Exergaming Boxing for Predictive Heart Rate Regression Models in Young Adults.,machine learning,Group_B,2020-12, Gartner Data & Analytics Summit,Xu Zhang 0005,Haomin Zhang,Description of Reviewer_1 for article: 7478898,Description of Reviewer_2 for article: 7478898,EventAssign_7478898,EventRev1_7478898,EventRev2_7478898
Byung-Won On,A text GAN framework for creative essay recommendation.,Knowledge Discovery,Group_A,2021-232,Women in Data Science,Colin Tattersall,Kristoffer Høgsbro Rose,Description of Reviewer_1 for article: 7372743,Description of Reviewer_2 for article: 7372743,EventAssign_7372743,EventRev1_7372743,EventRev2_7372743
Shi-Kuo Chang,Picture information measures for similarity retrieval.,databases,Group_B,1983-23, Gartner Data & Analytics Summit,Toshio Tokita,Roy F. Keller,Description of Reviewer_1 for article: 8670967,Description of Reviewer_2 for article: 8670967,EventAssign_8670967,EventRev1_8670967,EventRev2_8670967
Yao Li 0006,How Not to Measure Social Network Privacy: A Cross-Country Investigation.,machine learning,Group_A,2021-5,Women in Data Science,Hiroshi Imai,Signy Sheldon,Description of Reviewer_1 for article: 6726580,Description of Reviewer_2 for article: 6726580,EventAssign_6726580,EventRev1_6726580,EventRev2_6726580
Biplab Sikdar,Queueing analysis of polled service classes in the IEEE 802.16 MAC protocol.,natural language processing,Group_C,2009-8, Gartner Data & Analytics Summit,Dansheng Yu,Nebojsa Jojic,Description of Reviewer_1 for article: 6432485,Description of Reviewer_2 for article: 6432485,EventAssign_6432485,EventRev1_6432485,EventRev2_6432485
Yulong Huang,A Computationally Efficient Outlier-Robust Cubature Kalman Filter for Underwater Gravity Matching Navigation.,big data,Group_C,2022-71, Gartner Data & Analytics Summit,Dongfang Yang,Mitsuru Kodama,Description of Reviewer_1 for article: 6199520,Description of Reviewer_2 for article: 6199520,EventAssign_6199520,EventRev1_6199520,EventRev2_6199520
Eike Schulz,A Discrete-event Modeling of ARGESIM Benchmark C20 'Complex Production System' using Flexsim Simulation Software.,machine learning,Group_C,2012-22,Open Data Science Conference ,Takao Ueda,Sanyang Liu,Description of Reviewer_1 for article: 6615384,Description of Reviewer_2 for article: 6615384,EventAssign_6615384,EventRev1_6615384,EventRev2_6615384
Wang Yi 0001,Optimizing the Locations and Sizes of Solar Assisted Electric Vehicle Charging Stations in an Urban Area.,databases,Group_C,2020-8,Open Data Science Conference ,M. Y. Chan,Xiwang Zhang,Description of Reviewer_1 for article: 8401606,Description of Reviewer_2 for article: 8401606,EventAssign_8401606,EventRev1_8401606,EventRev2_8401606
Vanessa Teague,Privately Matching k-mers.,databases,Group_B,2016-2016,Healthcare NLP Summit 2022,Nor Aina Mohd Jai,Frank Ellinger,Description of Reviewer_1 for article: 8276655,Description of Reviewer_2 for article: 8276655,EventAssign_8276655,EventRev1_8276655,EventRev2_8276655
Heysem Kaya,Combining modality-specific extreme learning machines for emotion recognition in the wild.,big data,Group_A,2016-10,Open Data Science Conference ,Mariusz Giero,S. Sreenadh,Description of Reviewer_1 for article: 8794553,Description of Reviewer_2 for article: 8794553,EventAssign_8794553,EventRev1_8794553,EventRev2_8794553
Jyh-Chyi Gong,Imitation and the dynamics of norms.,big data,Group_C,2000-40, Gartner Data & Analytics Summit,Huaguang Zhang,Thomas C. Shermer,Description of Reviewer_1 for article: 7969505,Description of Reviewer_2 for article: 7969505,EventAssign_7969505,EventRev1_7969505,EventRev2_7969505
B. V. Jayawant,Analytical and design aspects of magnetically suspended vehicles.,databases,Group_C,1979-15,Healthcare NLP Summit 2022,Aruna Jain,Tian Zhao,Description of Reviewer_1 for article: 6495739,Description of Reviewer_2 for article: 6495739,EventAssign_6495739,EventRev1_6495739,EventRev2_6495739
Klimis S. Ntalianis,An automatic event-complementing human life summarization scheme based on a social computing method over social media content.,machine learning,Group_C,2016-75,Open Data Science Conference ,Xuefeng Ding,William Maniatty,Description of Reviewer_1 for article: 8043663,Description of Reviewer_2 for article: 8043663,EventAssign_8043663,EventRev1_8043663,EventRev2_8043663
Zhaoping Tang,Railway emergency resource dispatching optimization based on fuzzy satisfaction degree under the priority principle.,Knowledge Discovery,Group_B,2017-33,Open Data Science Conference ,Stefano Russo,Arne J. Glenstrup,Description of Reviewer_1 for article: 8613455,Description of Reviewer_2 for article: 8613455,EventAssign_8613455,EventRev1_8613455,EventRev2_8613455
Weifeng Zhao,Lattice Boltzmann method for general convection-diffusion equations: MRT model and boundary schemes.,databases,Group_A,2019-389,Women in Data Science,Anna Tonazzini,G. G. Gustafson,Description of Reviewer_1 for article: 7978694,Description of Reviewer_2 for article: 7978694,EventAssign_7978694,EventRev1_7978694,EventRev2_7978694
Stefano Russo,Cloud Reliability: Possible Sources of Security and Legal Issues?,databases,Group_A,2018-5,Open Data Science Conference ,Shahin Nazarian,Rosalind Pan,Description of Reviewer_1 for article: 6306115,Description of Reviewer_2 for article: 6306115,EventAssign_6306115,EventRev1_6306115,EventRev2_6306115
Graziella Caprarelli,An Alternative Approach to Mapping Thermophysical Units from Martian Thermal Inertia and Albedo Data Using a Combination of Unsupervised Classification Techniques.,databases,Group_B,2014-6, Gartner Data & Analytics Summit,Martin Reczko,Makoto Kobayashi,Description of Reviewer_1 for article: 6521687,Description of Reviewer_2 for article: 6521687,EventAssign_6521687,EventRev1_6521687,EventRev2_6521687
Arif Khan 0001,The impact of author-selected keywords on citation counts.,natural language processing,Group_B,2016-10,Women in Data Science,Massimiliano Comisso,Subhasmita Sahoo,Description of Reviewer_1 for article: 8935508,Description of Reviewer_2 for article: 8935508,EventAssign_8935508,EventRev1_8935508,EventRev2_8935508
János Sztrik,An algorithmic approach to analysing the reliability of a controllable unreliable queue with two heterogeneous servers.,Knowledge Discovery,Group_B,2018-271, Gartner Data & Analytics Summit,Seungkeun Park,Shlomo Shamai,Description of Reviewer_1 for article: 6648095,Description of Reviewer_2 for article: 6648095,EventAssign_6648095,EventRev1_6648095,EventRev2_6648095
Marinella Bertolotti,Georeferencing of COVID-19 Positive Nasopharyngeal Swabs to Support Emergency Management in an Area of Northern Italy.,big data,Group_B,2022-11, Gartner Data & Analytics Summit,Jeroen Kuipers,Francisco Chiclana,Description of Reviewer_1 for article: 6306559,Description of Reviewer_2 for article: 6306559,EventAssign_6306559,EventRev1_6306559,EventRev2_6306559
Seok-Pil Lee,Fast and Robust Watermarking Method Based on DCT Specific Location.,databases,Group_A,2019-7,Open Data Science Conference ,V. Gourishankar,Mitsuru Kodama,Description of Reviewer_1 for article: 8423435,Description of Reviewer_2 for article: 8423435,EventAssign_8423435,EventRev1_8423435,EventRev2_8423435
María Eugenia Cabello,A Generic Process for the Design and Generation of Software Product Line Skeleton Architectures.,machine learning,Group_C,2014-24,Healthcare NLP Summit 2022,Francesco Caputo,Md. Masud Rana 0001,Description of Reviewer_1 for article: 7875648,Description of Reviewer_2 for article: 7875648,EventAssign_7875648,EventRev1_7875648,EventRev2_7875648
Tsui-Tsai Lin,Performance of Robust OFDM Channel Estimation with Strong Interference Detector.,natural language processing,Group_B,2010-93-B, Gartner Data & Analytics Summit,Shi-Ming Huang,Joseph DiPietro,Description of Reviewer_1 for article: 6562907,Description of Reviewer_2 for article: 6562907,EventAssign_6562907,EventRev1_6562907,EventRev2_6562907
Chwan-Lu Tseng,An Adaptive Supervisory Sliding Fuzzy Cerebellar Model Articulation Controller for Sensorless Vector-Controlled Induction Motor Drive Systems.,big data,Group_C,2015-15, Gartner Data & Analytics Summit,Fred S. Annexstein,Thomas C. Shermer,Description of Reviewer_1 for article: 7398051,Description of Reviewer_2 for article: 7398051,EventAssign_7398051,EventRev1_7398051,EventRev2_7398051
Rafael Brundo Uriarte,Exploring the relation between festivals and host cities on Twitter: a study on the impacts of Lucca Comics & Games.,natural language processing,Group_A,2020-22, Gartner Data & Analytics Summit,Ibrahim Takouna,Emmanuel Reusens,Description of Reviewer_1 for article: 8075716,Description of Reviewer_2 for article: 8075716,EventAssign_8075716,EventRev1_8075716,EventRev2_8075716
Khaled Alkhateeb,Evaluating the Understandability of Android Applications.,natural language processing,Group_C,2018-6,Women in Data Science,Hans-Joachim Wunderlich,Enrique Personal,Description of Reviewer_1 for article: 8934594,Description of Reviewer_2 for article: 8934594,EventAssign_8934594,EventRev1_8934594,EventRev2_8934594
Hamid Davoudpour,An integrated supply chain production-distribution planning with stochastic demands.,databases,Group_A,2014-77,Healthcare NLP Summit 2022,Huifeng Li,Mengdi Gan,Description of Reviewer_1 for article: 8553749,Description of Reviewer_2 for article: 8553749,EventAssign_8553749,EventRev1_8553749,EventRev2_8553749
Oludotun Olubanjo,Demand-supply chain management: systems implications in an SME packaging business in the UK.,big data,Group_C,2012-7,Healthcare NLP Summit 2022,Lirong Liu,B. R. Myers,Description of Reviewer_1 for article: 6483673,Description of Reviewer_2 for article: 6483673,EventAssign_6483673,EventRev1_6483673,EventRev2_6483673
Armin B. Cremers,On the Complexity of Regulated Context-Free Rewriting,databases,Group_C,1974-25,Women in Data Science,Weifeng Zhao,Qilun Zhu,Description of Reviewer_1 for article: 7759701,Description of Reviewer_2 for article: 7759701,EventAssign_7759701,EventRev1_7759701,EventRev2_7759701
Patrick Gallinari,Semi-supervised learning with an imperfect supervisor.,big data,Group_A,2005-8,Healthcare NLP Summit 2022,Holger Karl,Kang Gu,Description of Reviewer_1 for article: 8683703,Description of Reviewer_2 for article: 8683703,EventAssign_8683703,EventRev1_8683703,EventRev2_8683703
Emmanouil G. Tsardoulias,Topological Based Scan Matching - Odometry Posterior Sampling in RBPF Under Kinematic Model Failures.,natural language processing,Group_A,2018-91,Healthcare NLP Summit 2022,Massimiliano Orsini,P. Friderichsen,Description of Reviewer_1 for article: 8152652,Description of Reviewer_2 for article: 8152652,EventAssign_8152652,EventRev1_8152652,EventRev2_8152652
Yingpu Deng,Algebraic Immunity Hierarchy of Boolean Functions.,machine learning,Group_C,2007-2007,Open Data Science Conference ,Jeffrey E. Schaller,Lars Grüne,Description of Reviewer_1 for article: 8282972,Description of Reviewer_2 for article: 8282972,EventAssign_8282972,EventRev1_8282972,EventRev2_8282972
D. Prasanna,Real-time hook selection: a soft computing enabled future location protection mechanism in WSN using LTR measures and random seeding approach.,natural language processing,Group_A,2020-24,Healthcare NLP Summit 2022,Jun Cheng 0002,Biplab Sikdar,Description of Reviewer_1 for article: 8025205,Description of Reviewer_2 for article: 8025205,EventAssign_8025205,EventRev1_8025205,EventRev2_8025205
Marco Mandolini,A multi-objective sequential method for manufacturing cost and structural optimization of modular steel towers.,Knowledge Discovery,Group_B,2020-36, Gartner Data & Analytics Summit,Nikolaj Bjørner,Karen J. Mullinger,Description of Reviewer_1 for article: 6800198,Description of Reviewer_2 for article: 6800198,EventAssign_6800198,EventRev1_6800198,EventRev2_6800198
Alireza Tavakkoli,Non-parametric statistical background modeling for efficient foreground region detection.,Knowledge Discovery,Group_A,2009-20,Women in Data Science,Beatriz Marcotegui,Amar Ramudhin,Description of Reviewer_1 for article: 8112434,Description of Reviewer_2 for article: 8112434,EventAssign_8112434,EventRev1_8112434,EventRev2_8112434
Ping-Ping Dai,Consensus Problem of Heterogeneous Multi-agent Systems with Time Delay under Fixed and Switching Topologies.,databases,Group_B,2014-11,Open Data Science Conference ,Sara Mahdavi-Hezavehi,Steven S. Seiden,Description of Reviewer_1 for article: 6707967,Description of Reviewer_2 for article: 6707967,EventAssign_6707967,EventRev1_6707967,EventRev2_6707967
Jingyu Han,Ranking Wikipedia article's data quality by learning dimension distributions.,natural language processing,Group_A,2014-3,Healthcare NLP Summit 2022,Emmanuelle Vaast,Nguyen T. Thanh,Description of Reviewer_1 for article: 6369349,Description of Reviewer_2 for article: 6369349,EventAssign_6369349,EventRev1_6369349,EventRev2_6369349
Joseph DiPietro,Investigating Perceptions of Avatar Creation for Use in Educational MUVEs.,machine learning,Group_A,2009-1, Gartner Data & Analytics Summit,Scott Henninger,K. Ohm,Description of Reviewer_1 for article: 7841004,Description of Reviewer_2 for article: 7841004,EventAssign_7841004,EventRev1_7841004,EventRev2_7841004
Sudipta Mahapatra,Mapping of neural network models onto massively parallel hierarchical computer systems.,Knowledge Discovery,Group_A,1999-45,Women in Data Science,Kelly A. Frazer,Juan Miguel Medina 0002,Description of Reviewer_1 for article: 7570542,Description of Reviewer_2 for article: 7570542,EventAssign_7570542,EventRev1_7570542,EventRev2_7570542
Ingo Scholtes,Analysing Time-Stamped Co-Editing Networks in Software Development Teams using git2net.,natural language processing,Group_C,2021-26, Gartner Data & Analytics Summit,Pavan Nuggehalli,John A. A. Sillince,Description of Reviewer_1 for article: 8701255,Description of Reviewer_2 for article: 8701255,EventAssign_8701255,EventRev1_8701255,EventRev2_8701255
Guangyi Liu,Communicating in the real world: 3D MIMO.,natural language processing,Group_B,2014-21,Open Data Science Conference ,Minerva M. Yeung,Ricardo García-Ródenas,Description of Reviewer_1 for article: 7280485,Description of Reviewer_2 for article: 7280485,EventAssign_7280485,EventRev1_7280485,EventRev2_7280485
Habib F. Rashvand,Smartphone intelligent applications: a brief review.,natural language processing,Group_B,2015-21,Open Data Science Conference ,Henry Cohn,Sören Bartels,Description of Reviewer_1 for article: 6594823,Description of Reviewer_2 for article: 6594823,EventAssign_6594823,EventRev1_6594823,EventRev2_6594823
Jie Zhang 0003,A Survey of Online Data-Driven Proactive 5G Network Optimisation Using Machine Learning.,big data,Group_C,2020-8,Women in Data Science,Henry Cohn,Leonid Berezansky,Description of Reviewer_1 for article: 8428558,Description of Reviewer_2 for article: 8428558,EventAssign_8428558,EventRev1_8428558,EventRev2_8428558
